Month,Date,Heading SE,Heading NW,Present,Total Birds,Wind Direction,Wind Speed (mph),precipitation,Temperature (C)
4,1,1679,3474,22,5175,NW,3,no,6
4,2,2018,60,550,2628,NW,3,no,7
4,3,260,274,0,534,var ,1,no,8
4,4,415,3363,0,3778,SW,5,no,10
4,5,322,528,0,850,NW,2,no,12
4,6,12,5889,350,6251,SE,5,no,
4,7,69,8512,0,8581,SW,5,no,
4,8,241,77,0,318,NW,6,no,6
4,9,210,361,0,571,var ,0,no,3
4,10,254,1231,0,1485,SW,3,no,10
4,11,151,2856,0,3007,SW,4,no,12
4,12,166,1491,0,1657,var,0,no,14
4,13,945,95,0,1040,N,2,no,12
4,14,316,300,0,616,var,0,no,9
4,15,204,545,0,749,SE,3,no,11
4,16,110,653,0,763,SW,1,no,13
4,17,17,104,0,121,SW,2,no,16
4,18,78,5,0,83,NE,2,no,11
4,19,60,55,0,115,SE,3,no,9
4,20,202,83,0,285,SW,1,no,12
4,21,53,4,0,57,SE,2,no,12
4,22,168,79,0,247,NE,1,yes,12
4,23,1157,4,0,1161,NE,2,no,8
4,24,944,135,0,1079,NE,3,yes,9
4,25,14,74,0,88,NE,5,no,12
4,26,452,23,0,475,NE,2,yes,14
4,27,513,31,0,544,E,1,no,12
4,28,65,16,0,81,SW,1,no,14
4,29,180,45,0,225,SW,3,no,16
4,30,2,0,0,2,NE,3,no,18
